Centre_ID,Centre_Title,Centre_Address,County,Maximum_Occupancy,Centre_Phone,Person_in_Charge,Person_in_Charge_Phone,Registration_Provider,Registration_Provider_Address,Registration_Provider_Phone,Registration_Date,Registration_Expiry_Date,Expiry_Date_Note,CRO_Registration_Number,Management_Contacts,Registration_Number,Chief_Inspector_Note,Registration_Conditions,URL
317,"Ballinamore House Nursing Home","Ballinamore, Kiltimagh, F12 HW70",Mayo,51,"094 938 1919","Caroline McGing","094 938 1919","Raicam Holdings Limited","Ballinamore Nursing Home, Ballinamore, Kiltimagh, F12 HW70, Mayo","094 938 2002",10-02-2024,09-02-2027,,305905,"Sharon O'Boyle - 094 938 1919",REG-0038167,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 08/08/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 51.",https://www.hiqa.ie/areas-we-work/find-a-centre/ballinamore-house-nursing-home
5290,"Ballinamore Nursing Unit","Tully, Ballinamore, N41 XC92",Leitrim,20,"071 964 4376",,,"Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",01-12-2024,30-11-2027,,,,REG-0039406,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 26/11/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 20.Condition 4No new residents may be admitted to bedroom 15,  a twin room,  until such time as the residents who were residing there on 06 March 2025 are facilitated to transfer to alternative bedroom accommodation better suited to their needs or no longer reside in the designated centre.  When the current occupants of room 15 no longer reside in that bedroom the registered provider must review this room and 1.	Designate the room as suitable only for the accommodation of two independently mobile residents who undergo an assessment by a suitably qualified professional of their mobility at intervals of 6 months or less if their condition changes or2.	Reduce the occupancy of the room to one resident only The registered provider must communicate to the Chief Inspector which of the above two options they wish to progress and if necessary apply to vary conditions 1 and three of their registration.Condition 5The registered provider shall,  by 30 September 2025,  submit to the Chief Inspector the information and documentation set out in Schedule 2 of the Health Act 2007 (Registration of Designated Centres for Older People) Regulations 2015 as amended in relation to any person who participates or will participate in the management of the designated centre.",https://www.hiqa.ie/areas-we-work/find-a-centre/ballinamore-nursing-unit
361,"Ballinasloe Care Centre","Bridge Street, Ballinasloe, H53 H327",Galway,21,"090 964 6120","Nora Ryan","090 964 6120","Mowlam Healthcare Services Unlimited Company","One Bank Place, Limerick City, Limerick, V94 HT2Y, Limerick","061 416 099",04-04-2025,03-04-2028,,506719,"Anne Blagdon - 061 416 099, Susan Shortt - 061 416 099",REG-0044819,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 25 February 2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 21.Condition 4The registered provider shall ensure that no new resident is admitted to the designated centre until the designated centre is in compliance with Regulation 17; Premises and Regulation 28; Fire Precautions including 1.	Regulation 17: Premises a.	Replacement of the roof of the designated centre#b.	Refurbishment of all parts of the designated centre to address i.	all water damage as a result of the leaking roofii.	degradation of fixtures and fittings as a result of construction works and the necessary closure of the first floor 2.	Regulation 28: Fire precautions:a.	Install adequate fire containment measures throughout the centre.b.	Replace and/or repair all fire doorsets throughout the centre and fit fire rated doors to all high risk rooms that currently do not have such a door. c.	Upgrade the fire detection and alarm system,  emergency lighting and directional signage.",https://www.hiqa.ie/areas-we-work/find-a-centre/ballinasloe-care-centre
5270,"Ballinasloe Community Nursing Unit","Creagh Road, Ballinasloe, H53 P2E2",Galway,50,"090 963 0115","Mary Butler","090 963 0170","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",07-04-2025,06-04-2028,,,"Bernadette Austin - 086 381 6700, Damien Woods - 093 37 937",REG-0040074,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 7 November 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50",https://www.hiqa.ie/areas-we-work/find-a-centre/ballinasloe-community-nursing-unit
712,"Ballincollig Community Nursing Unit","Murphy's Barracks Road, Ballincollig, P31 PT10",Cork,100,"021 462 0600","Marie Molihan","021 462 0600","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",28-09-2023,27-09-2026,,,"Mowlam Healthcare Services Unlimited Company - 061 416099, Susan Shortt - 061 416 099",REG-0037547,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/03/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 100.",https://www.hiqa.ie/areas-we-work/find-a-centre/ballincollig-community-nursing-unit
197,"Ballincurrig Care Centre","Ballincurrig, Leamlara, T56 TC04",Cork,57,"021 464 2130","Susha Nair","021 464 2130","Ballincurrig Care Centre Limited","Ballincurrig Care Centre, Ballincurrig, Leamlara, T56 TC04, Cork","021 464 2130",08-04-2023,07-04-2026,,371849,"Blathnaid Hart - 01 825 4265",REG-0036847,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 27/03/2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 57.",https://www.hiqa.ie/areas-we-work/find-a-centre/ballincurrig-care-centre
318,"Ballinderry Nursing Home","Ballinderry, Kilconnell, Ballinasloe, H53 H973",Galway,42,"090 968 6890","John Creaven","090 968 6890","Ballinderry Nursing Home Limited","Ballinderry, Kilconnell, Ballinasloe, H53 H973, Galway","090 968 6890",01-12-2023,30-11-2026,,518597,"Eamonn Noone - 090 968 6890",REG-0037703,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received16/10/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: [42].",https://www.hiqa.ie/areas-we-work/find-a-centre/ballinderry-nursing-home
330,"Ballymote Community Nursing Unit","Carrownanty, Ballymote, F56EP48",Sligo,32,"071 918 3195","Linda Hallett (Deputising) for Alex Fieraru (Absent)","071 918 0900","Nazareth Care Ireland","Nazareth House, Nazareth House Regional Office, Malahide Road, D03 KW08, Dublin 3","01 833 8205",01-08-2024,31-07-2027,,592523,"Tania Spelman - 087 225 5202",REG-0043286,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 16 April 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 32",https://www.hiqa.ie/areas-we-work/find-a-centre/ballymote-community-nursing-unit
8621,"Ballyshannon Community Hospital","College Street, Ballyshannon, F94 DR40",Donegal,60,"071 985 1303","Donna Reid","071 985 1303","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",18-12-2023,17-12-2026,,,,REG-0042052,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on[16/11/2023]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 60.",https://www.hiqa.ie/areas-we-work/find-a-centre/ballyshannon-community-hospital
485,"Baltinglass Community Hospital","Newtownsaunders, Baltinglass, W91 EK59",Wicklow,54,"059 645 1600","Emma Redmond","059 645 1600","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-06-2024,24-06-2027,,,"Eileen Burke - 045 880 400",REG-0038582,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 24/03/2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 54.",https://www.hiqa.ie/areas-we-work/find-a-centre/baltinglass-community-hospital
557,"Bandon Community Hospital","Hospital Lane, Cloughmacsimon, Bandon, P72 W564",Cork,25,"023 884 1403","Amrutha George","023 884 3648","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-10-2024,24-10-2027,,,,REG-0039179,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on the 28 June 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 25.Condition 4The registered provider shall,  by 31 October 2024,  submit to the Chief Inspector the information and documentation set out in Schedule 2 of the Health Act 2007 (Registration of Designated Centres for Older People) Regulations 2015 as amended in relation to any person who participates or will participate in the management of the designated centre.",https://www.hiqa.ie/areas-we-work/find-a-centre/bandon-community-hospital
320,"Beach Hill Manor Private Nursing Home","Lisfannon, Fahan, F93 EK06",Donegal,48,"074 932 0300","Markita O'Callaghan","074 932 0300","The Brindley Manor Federation of Nursing Homes Limited","Brindley Manor Nursing Home, Letterkenny Road, Convoy, F93 ND80, Donegal","074 914 7000",28-03-2023,27-03-2026,,325873,"Edward Harkin - 01 264 0496, Ashling Newman - 087 915 0652",REG-0036776,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated [27/09/2022]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: [48].",https://www.hiqa.ie/areas-we-work/find-a-centre/beach-hill-manor-private-nursing-home
709,"Beaufort House","HSE Navan Community Health Unit, Beaufort House, Athboy Road, Navan, C15 N82V",Meath,44,"046 909 9101","Nicola Wilson","046 909 9105","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",27-05-2023,26-05-2026,,,"Silin Joseph - 046 909 9101, Patricia Greville - 046 948 4300",REG-0037045,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10 January 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 44.",https://www.hiqa.ie/areas-we-work/find-a-centre/beaufort-house
198,"Beaumont Residential Care","Woodvale Road, Beaumont, T12 ED00",Cork,73,"021 430 0534","Eilis Brennan","021 429 2195","Beaumont Residential Care Limited","CareChoice Group, First Floor Block 10-2, Blanchardstown Corporate Park 1, Blanchardstown, D15 A25K, Dublin 15","01 223 3000",01-11-2022,31-10-2025,,138489,,REG-0036281,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose dated 04/07/22 within the footprint of the designated centre on the floor plan dated 08/08/22. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 73.",https://www.hiqa.ie/areas-we-work/find-a-centre/beaumont-residential-care
408,"Beech Lodge Care Facility","Kilmallock Road, Bruree, V35 E868",Limerick,66,"063 905 22",,,"Beech Lodge Care Facility Limited","Beech Lodge Care Facility Ltd, Kilmallock Road, Bruree, V35 E868, Limerick","063 905 22",26-04-2024,25-04-2027,,492837,,REG-0038312,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 16 May 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 66.Condition 4By 08 August 2025 the registered provider shall ensure that there is a Person in Charge in the designated centre,  and that the post is held by a person who meets the requirements of Regulation 14; Persons in Charge including •	not less than 3 years’ experience of nursing older persons within the previous 6 years •	not less than 3 years’ experience in a nurse management role in the health and social care area. •	the educational requirements of 14 (7) (a),  (b) or (c) as relevant to that person",https://www.hiqa.ie/areas-we-work/find-a-centre/beech-lodge-care-facility
12,"Beech Park Nursing Home","Dunmurry East, Kildare Town, R51 PC58",Kildare,47,"045 534 000","Divya Jayarajan","045 534 4000","Dunmurry West Care Homes Ltd.","Mount Hybla House, Farmleigh Estate, Castleknock, D15 Y977, Dublin 15","01 634 6818",11-10-2022,10-10-2025,,652315,"Kevin O'Brien - 087 205 0096, Nichola Steen - 087 366 7443, Sarah McMickan - 087 969 2754",REG-0036219,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 11 August 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 47.",https://www.hiqa.ie/areas-we-work/find-a-centre/beech-park-nursing-home
13,"Beechfield Manor Nursing Home","Shanganagh Road, Shankill , D18 P389",Dublin,69,"01 282 4874","Nenimar Talosig","01 282 4874","Beechfield Manor Nursing Home Limited","Mount Hybla House, Farmleigh Estate, Castleknock, D15 Y977, Dublin 15","01 634 6818",01-06-2024,31-05-2027,,610885,"Kevin O'Brien - 087 205 0096, Nichola Steen - 087 366 7443",REG-0038489,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received 4/4/2024 within the footprint of the designated centre on the floor plan received 29/3/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 69.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechfield-manor-nursing-home
115,"Beechlawn House Nursing Home","Beechlawn House Nursing Home, High Park, Grace Park Road, Drumcondra, D09 YK82",Dublin,56,"01 836 9622","Christopher Horgan","01 836 9622","Congregation of Our Lady of Charity of the Good Shepherd with Frances Lynch,  Shirley O'Sullivan,  Angela Fahy,  Regina McHugh,  Cait O'Leary as members","63 Lower Sean McDermott Street, D01 NX93, Dublin 1","01 871 1109 / 087 6497430",01-09-2023,31-08-2026,,,"Margaret Lynch - 01 836 9622",REG-0041897,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 20th of January 2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 56.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechlawn-house-nursing-home
116,"Beechtree Nursing Home","Murragh, Oldtown, A45 KC97",Dublin,79,"01 843 3634","Gireeshkumar Nair",08433634,"Beechtree Health Care Limited","Glas care Group, Bracestown Business Park, Clonee, D15YDC1, Dublin 15","01 843 3634",15-10-2023,14-10-2026,,378021,"Glas Care Holdco Ltd . - 086 803 7960, Ciaran Larmer - 01 280 9877, Richard Byrne - 01 284 1266",REG-0037499,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12/04/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 79.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechtree-nursing-home
409,"Beechwood House Nursing Home","Beechwood Gardens, Newcastle West, V42 P308",Limerick,67,"069 616 42","Eileen Sweeney","069 62408","Beechwood House Nursing Home Limited","Beechwood House, Newcastle West, V42 P308, Limerick","069 624 08",23-02-2023,22-02-2026,,278520,"John Raleigh - 069 62408",REG-0036652,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated  5 January 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 67.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechwood-house-nursing-home
199,"Beechwood Nursing Home","Rathvindon, Leighlinbridge, R93 DD43",Carlow,57,"059 972 2366","Roshan Kurian","059 972 2366","Maisonbeech Limited","Mount Hybla House, Farmleigh Woods, Whites Road, Castleknock, D15Y977, Dublin 15","01 634 6818",23-05-2023,22-05-2026,,523982,"Simon Balfe - 01 8699722, Kevin O'Brien - 087 205 0096, Nichola Steen - 087 366 7443, Sarah McMickan - 087 969 2754",REG-0037031,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 57.",https://www.hiqa.ie/areas-we-work/find-a-centre/beechwood-nursing-home
438,"Bellvilla Community Unit","129 South Circular Road, D08 TP2D",Dublin,47,"01 795 9230 / 31","Nelson DSouza","01 795 9240","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",26-06-2024,25-06-2027,,,"Eileen Burke - 045 880 400",REG-0038596,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received 25 March 2025 within the footprint of the designated centre on the floor plan received 5 February 2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 47.",https://www.hiqa.ie/areas-we-work/find-a-centre/bellvilla-community-unit
14,"Belmont House Private Nursing Home","Galloping Green, Stillorgan, A94 KW44",Dublin,156,"01 278 4393","Sanalia Ibrahim","01 278 4393","Belmont Care Limited","Belmont House Nursing Home, Galloping Green, Stillorgan Rd, Blackrock, A94 KW44, Co. Dublin","01 264 0496",24-06-2025,23-06-2028,,258353,"Mary Lloyd - 086 838 4033, Emeis Ireland - 01 264 0496",REG-0040398,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 23/12/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 156.",https://www.hiqa.ie/areas-we-work/find-a-centre/belmont-house-private-nursing-home
15,"Bethany House Nursing Home","Main Street, Tyrrellspass, N91 P5P6",Westmeath,90,"044 922 3391","Laura Mealiff","044 922 3391","MPM Nursing Home Limited","Bethany House Nursing Home, Tyrrellspass, N91 P5P6, Westmeath","044 922 3391",14-03-2024,13-03-2027,,417062,"Kevin O'Brien - 087 205 0096, Nichola Steen - 087 366 7443",REG-0038122,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on[21/02/2024]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: [90].",https://www.hiqa.ie/areas-we-work/find-a-centre/bethany-house-nursing-home
522,"Birr Community Nursing Unit","Sandymount, Birr, R42 VN80",Offaly,74,"057 912 3200","Rosmy Cunningham","057 912 3200","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",01-11-2023,31-10-2026,,,"Jean Gaffey - 087 703 1966",REG-0037556,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 8 December 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 74.",https://www.hiqa.ie/areas-we-work/find-a-centre/birr-community-nursing-unit
200,"Bishopscourt Nursing Home Limited","Liskillea, Waterfall, Near Cork, T12 RV0P",Cork,60,"021 488 5833","Tafadzwa Bernadette Muserere","021 488 5833","Bishopscourt Nursing Home Ltd","1st Floor Suite 32, The Mall, Beacon Court, Sandyford, D18 AYF3, Dublin 18","01 496 8744",02-09-2024,01-09-2027,,728489,"Grace Healthcare (Holdings) Ireland Limited - 01- 496 8744, Paul Vassallo - 021 4885 833",REG-0043587,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 30/07/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 60.",https://www.hiqa.ie/areas-we-work/find-a-centre/bishopscourt-nursing-home-limited
118,"Blackrock Abbey Nursing Home","Cockle Hill, Blackrock, Dundalk, A91 RP76",Louth,64,"042 932 1258","Livija Alsic","042 932 1258","ACH Nursing Home and Healthcare Ltd.","Mooretown House, Mooretown, Dublin Road, Dundalk, A91 R206, Louth","042 9321258",08-02-2024,07-02-2027,,597759,,REG-0037988,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose (09 January 2025) within the footprint of the designated centre on the floor plan received on 03/11/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose (09 January 2025),  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 64.",https://www.hiqa.ie/areas-we-work/find-a-centre/blackrock-abbey-nursing-home
