"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Westmeath County Council","Number","658"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Wexford County Council","Number","1446"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Wicklow County Council","Number","1144"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Clare County Council","Number","1068"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Cork City Council","Number","1926"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Cork County Council","Number","2889"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Kerry County Council","Number","1306"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Limerick City & County Council","Number","1617"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Tipperary County Council","Number","1642"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Waterford City & County Council","Number","1071"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Galway City Council","Number","526"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Galway County Council","Number","1894"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Leitrim County Council","Number","390"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Mayo  County Council","Number","1568"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Roscommon County Council","Number","748"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Sligo County Council","Number","681"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Cavan County Council","Number","656"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Donegal County Council","Number","1722"
"Population with a disability to a great extent","2022","85 years and over","Both sexes","Monaghan County Council","Number","584"
"Population with a disability to a great extent","2022","85 years and over","Male","Ireland","Number","13012"
"Population with a disability to a great extent","2022","85 years and over","Male","Carlow County Council","Number","122"
"Population with a disability to a great extent","2022","85 years and over","Male","Dublin City Council","Number","1546"
"Population with a disability to a great extent","2022","85 years and over","Male","Dún Laoghaire Rathdown County Council","Number","821"
"Population with a disability to a great extent","2022","85 years and over","Male","Fingal County Council","Number","436"
"Population with a disability to a great extent","2022","85 years and over","Male","South Dublin County Council","Number","491"
"Population with a disability to a great extent","2022","85 years and over","Male","Kildare County Council","Number","416"
"Population with a disability to a great extent","2022","85 years and over","Male","Kilkenny County Council","Number","288"
"Population with a disability to a great extent","2022","85 years and over","Male","Laois County Council","Number","164"
"Population with a disability to a great extent","2022","85 years and over","Male","Longford County Council","Number","125"
"Population with a disability to a great extent","2022","85 years and over","Male","Louth County Council","Number","294"
"Population with a disability to a great extent","2022","85 years and over","Male","Meath County Council","Number","436"
"Population with a disability to a great extent","2022","85 years and over","Male","Offaly County Council","Number","230"
"Population with a disability to a great extent","2022","85 years and over","Male","Westmeath County Council","Number","243"
"Population with a disability to a great extent","2022","85 years and over","Male","Wexford County Council","Number","473"
"Population with a disability to a great extent","2022","85 years and over","Male","Wicklow County Council","Number","365"
"Population with a disability to a great extent","2022","85 years and over","Male","Clare County Council","Number","347"
"Population with a disability to a great extent","2022","85 years and over","Male","Cork City Council","Number","568"
"Population with a disability to a great extent","2022","85 years and over","Male","Cork County Council","Number","956"
"Population with a disability to a great extent","2022","85 years and over","Male","Kerry County Council","Number","430"
"Population with a disability to a great extent","2022","85 years and over","Male","Limerick City & County Council","Number","531"
"Population with a disability to a great extent","2022","85 years and over","Male","Tipperary County Council","Number","533"
"Population with a disability to a great extent","2022","85 years and over","Male","Waterford City & County Council","Number","353"
"Population with a disability to a great extent","2022","85 years and over","Male","Galway City Council","Number","161"
"Population with a disability to a great extent","2022","85 years and over","Male","Galway County Council","Number","606"
"Population with a disability to a great extent","2022","85 years and over","Male","Leitrim County Council","Number","131"
"Population with a disability to a great extent","2022","85 years and over","Male","Mayo  County Council","Number","475"
"Population with a disability to a great extent","2022","85 years and over","Male","Roscommon County Council","Number","260"
"Population with a disability to a great extent","2022","85 years and over","Male","Sligo County Council","Number","228"
"Population with a disability to a great extent","2022","85 years and over","Male","Cavan County Council","Number","227"
"Population with a disability to a great extent","2022","85 years and over","Male","Donegal County Council","Number","573"
"Population with a disability to a great extent","2022","85 years and over","Male","Monaghan County Council","Number","183"
"Population with a disability to a great extent","2022","85 years and over","Female","Ireland","Number","27661"
"Population with a disability to a great extent","2022","85 years and over","Female","Carlow County Council","Number","305"
"Population with a disability to a great extent","2022","85 years and over","Female","Dublin City Council","Number","3660"
"Population with a disability to a great extent","2022","85 years and over","Female","Dún Laoghaire Rathdown County Council","Number","1782"
"Population with a disability to a great extent","2022","85 years and over","Female","Fingal County Council","Number","967"
"Population with a disability to a great extent","2022","85 years and over","Female","South Dublin County Council","Number","988"
"Population with a disability to a great extent","2022","85 years and over","Female","Kildare County Council","Number","879"
"Population with a disability to a great extent","2022","85 years and over","Female","Kilkenny County Council","Number","616"
"Population with a disability to a great extent","2022","85 years and over","Female","Laois County Council","Number","356"
"Population with a disability to a great extent","2022","85 years and over","Female","Longford County Council","Number","264"
"Population with a disability to a great extent","2022","85 years and over","Female","Louth County Council","Number","716"
"Population with a disability to a great extent","2022","85 years and over","Female","Meath County Council","Number","834"
"Population with a disability to a great extent","2022","85 years and over","Female","Offaly County Council","Number","401"
"Population with a disability to a great extent","2022","85 years and over","Female","Westmeath County Council","Number","415"
"Population with a disability to a great extent","2022","85 years and over","Female","Wexford County Council","Number","973"
"Population with a disability to a great extent","2022","85 years and over","Female","Wicklow County Council","Number","779"
"Population with a disability to a great extent","2022","85 years and over","Female","Clare County Council","Number","721"
"Population with a disability to a great extent","2022","85 years and over","Female","Cork City Council","Number","1358"
"Population with a disability to a great extent","2022","85 years and over","Female","Cork County Council","Number","1933"
"Population with a disability to a great extent","2022","85 years and over","Female","Kerry County Council","Number","876"
"Population with a disability to a great extent","2022","85 years and over","Female","Limerick City & County Council","Number","1086"
"Population with a disability to a great extent","2022","85 years and over","Female","Tipperary County Council","Number","1109"
"Population with a disability to a great extent","2022","85 years and over","Female","Waterford City & County Council","Number","718"
"Population with a disability to a great extent","2022","85 years and over","Female","Galway City Council","Number","365"
"Population with a disability to a great extent","2022","85 years and over","Female","Galway County Council","Number","1288"
"Population with a disability to a great extent","2022","85 years and over","Female","Leitrim County Council","Number","259"
"Population with a disability to a great extent","2022","85 years and over","Female","Mayo  County Council","Number","1093"
"Population with a disability to a great extent","2022","85 years and over","Female","Roscommon County Council","Number","488"
"Population with a disability to a great extent","2022","85 years and over","Female","Sligo County Council","Number","453"
"Population with a disability to a great extent","2022","85 years and over","Female","Cavan County Council","Number","429"
"Population with a disability to a great extent","2022","85 years and over","Female","Donegal County Council","Number","1149"
"Population with a disability to a great extent","2022","85 years and over","Female","Monaghan County Council","Number","401"
"Population with a disability to some extent","2022","All ages","Both sexes","Ireland","Number","702215"
"Population with a disability to some extent","2022","All ages","Both sexes","Carlow County Council","Number","8837"
"Population with a disability to some extent","2022","All ages","Both sexes","Dublin City Council","Number","82709"
"Population with a disability to some extent","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Number","34109"
"Population with a disability to some extent","2022","All ages","Both sexes","Fingal County Council","Number","40901"
"Population with a disability to some extent","2022","All ages","Both sexes","South Dublin County Council","Number","40509"
"Population with a disability to some extent","2022","All ages","Both sexes","Kildare County Council","Number","32839"
"Population with a disability to some extent","2022","All ages","Both sexes","Kilkenny County Council","Number","14102"
"Population with a disability to some extent","2022","All ages","Both sexes","Laois County Council","Number","12427"
"Population with a disability to some extent","2022","All ages","Both sexes","Longford County Council","Number","5881"
"Population with a disability to some extent","2022","All ages","Both sexes","Louth County Council","Number","19035"
"Population with a disability to some extent","2022","All ages","Both sexes","Meath County Council","Number","28325"
"Population with a disability to some extent","2022","All ages","Both sexes","Offaly County Council","Number","11333"
"Population with a disability to some extent","2022","All ages","Both sexes","Westmeath County Council","Number","12999"
"Population with a disability to some extent","2022","All ages","Both sexes","Wexford County Council","Number","24460"
"Population with a disability to some extent","2022","All ages","Both sexes","Wicklow County Council","Number","22997"
"Population with a disability to some extent","2022","All ages","Both sexes","Clare County Council","Number","17119"
"Population with a disability to some extent","2022","All ages","Both sexes","Cork City Council","Number","32499"
"Population with a disability to some extent","2022","All ages","Both sexes","Cork County Council","Number","48088"
"Population with a disability to some extent","2022","All ages","Both sexes","Kerry County Council","Number","20907"
"Population with a disability to some extent","2022","All ages","Both sexes","Limerick City & County Council","Number","28926"
"Population with a disability to some extent","2022","All ages","Both sexes","Tipperary County Council","Number","23552"
"Population with a disability to some extent","2022","All ages","Both sexes","Waterford City & County Council","Number","18286"
"Population with a disability to some extent","2022","All ages","Both sexes","Galway City Council","Number","12181"
"Population with a disability to some extent","2022","All ages","Both sexes","Galway County Council","Number","24341"
"Population with a disability to some extent","2022","All ages","Both sexes","Leitrim County Council","Number","4910"
"Population with a disability to some extent","2022","All ages","Both sexes","Mayo  County Council","Number","18636"
"Population with a disability to some extent","2022","All ages","Both sexes","Roscommon County Council","Number","9558"
"Population with a disability to some extent","2022","All ages","Both sexes","Sligo County Council","Number","10242"
"Population with a disability to some extent","2022","All ages","Both sexes","Cavan County Council","Number","10170"
"Population with a disability to some extent","2022","All ages","Both sexes","Donegal County Council","Number","23631"
"Population with a disability to some extent","2022","All ages","Both sexes","Monaghan County Council","Number","7706"
"Population with a disability to some extent","2022","All ages","Male","Ireland","Number","339819"
"Population with a disability to some extent","2022","All ages","Male","Carlow County Council","Number","4271"
"Population with a disability to some extent","2022","All ages","Male","Dublin City Council","Number","38460"
"Population with a disability to some extent","2022","All ages","Male","Dún Laoghaire Rathdown County Council","Number","15930"
"Population with a disability to some extent","2022","All ages","Male","Fingal County Council","Number","19402"
"Population with a disability to some extent","2022","All ages","Male","South Dublin County Council","Number","19230"
"Population with a disability to some extent","2022","All ages","Male","Kildare County Council","Number","16002"
"Population with a disability to some extent","2022","All ages","Male","Kilkenny County Council","Number","6930"
"Population with a disability to some extent","2022","All ages","Male","Laois County Council","Number","6123"
"Population with a disability to some extent","2022","All ages","Male","Longford County Council","Number","2924"
"Population with a disability to some extent","2022","All ages","Male","Louth County Council","Number","9320"
"Population with a disability to some extent","2022","All ages","Male","Meath County Council","Number","13905"
"Population with a disability to some extent","2022","All ages","Male","Offaly County Council","Number","5575"
"Population with a disability to some extent","2022","All ages","Male","Westmeath County Council","Number","6384"
"Population with a disability to some extent","2022","All ages","Male","Wexford County Council","Number","12016"
"Population with a disability to some extent","2022","All ages","Male","Wicklow County Council","Number","11130"
"Population with a disability to some extent","2022","All ages","Male","Clare County Council","Number","8361"
"Population with a disability to some extent","2022","All ages","Male","Cork City Council","Number","15580"
"Population with a disability to some extent","2022","All ages","Male","Cork County Council","Number","23766"
"Population with a disability to some extent","2022","All ages","Male","Kerry County Council","Number","10201"
"Population with a disability to some extent","2022","All ages","Male","Limerick City & County Council","Number","14125"
"Population with a disability to some extent","2022","All ages","Male","Tipperary County Council","Number","11659"
"Population with a disability to some extent","2022","All ages","Male","Waterford City & County Council","Number","9001"
"Population with a disability to some extent","2022","All ages","Male","Galway City Council","Number","5603"
"Population with a disability to some extent","2022","All ages","Male","Galway County Council","Number","12082"
"Population with a disability to some extent","2022","All ages","Male","Leitrim County Council","Number","2431"
"Population with a disability to some extent","2022","All ages","Male","Mayo  County Council","Number","9193"
"Population with a disability to some extent","2022","All ages","Male","Roscommon County Council","Number","4756"
"Population with a disability to some extent","2022","All ages","Male","Sligo County Council","Number","4939"
"Population with a disability to some extent","2022","All ages","Male","Cavan County Council","Number","4986"
"Population with a disability to some extent","2022","All ages","Male","Donegal County Council","Number","11650"
"Population with a disability to some extent","2022","All ages","Male","Monaghan County Council","Number","3884"
"Population with a disability to some extent","2022","All ages","Female","Ireland","Number","362396"
"Population with a disability to some extent","2022","All ages","Female","Carlow County Council","Number","4566"
"Population with a disability to some extent","2022","All ages","Female","Dublin City Council","Number","44249"
"Population with a disability to some extent","2022","All ages","Female","Dún Laoghaire Rathdown County Council","Number","18179"
"Population with a disability to some extent","2022","All ages","Female","Fingal County Council","Number","21499"
"Population with a disability to some extent","2022","All ages","Female","South Dublin County Council","Number","21279"
"Population with a disability to some extent","2022","All ages","Female","Kildare County Council","Number","16837"
"Population with a disability to some extent","2022","All ages","Female","Kilkenny County Council","Number","7172"
"Population with a disability to some extent","2022","All ages","Female","Laois County Council","Number","6304"
"Population with a disability to some extent","2022","All ages","Female","Longford County Council","Number","2957"
"Population with a disability to some extent","2022","All ages","Female","Louth County Council","Number","9715"
"Population with a disability to some extent","2022","All ages","Female","Meath County Council","Number","14420"
"Population with a disability to some extent","2022","All ages","Female","Offaly County Council","Number","5758"
"Population with a disability to some extent","2022","All ages","Female","Westmeath County Council","Number","6615"
"Population with a disability to some extent","2022","All ages","Female","Wexford County Council","Number","12444"
"Population with a disability to some extent","2022","All ages","Female","Wicklow County Council","Number","11867"
"Population with a disability to some extent","2022","All ages","Female","Clare County Council","Number","8758"
"Population with a disability to some extent","2022","All ages","Female","Cork City Council","Number","16919"
"Population with a disability to some extent","2022","All ages","Female","Cork County Council","Number","24322"
"Population with a disability to some extent","2022","All ages","Female","Kerry County Council","Number","10706"
"Population with a disability to some extent","2022","All ages","Female","Limerick City & County Council","Number","14801"
"Population with a disability to some extent","2022","All ages","Female","Tipperary County Council","Number","11893"
"Population with a disability to some extent","2022","All ages","Female","Waterford City & County Council","Number","9285"
"Population with a disability to some extent","2022","All ages","Female","Galway City Council","Number","6578"
"Population with a disability to some extent","2022","All ages","Female","Galway County Council","Number","12259"
"Population with a disability to some extent","2022","All ages","Female","Leitrim County Council","Number","2479"
"Population with a disability to some extent","2022","All ages","Female","Mayo  County Council","Number","9443"
"Population with a disability to some extent","2022","All ages","Female","Roscommon County Council","Number","4802"
"Population with a disability to some extent","2022","All ages","Female","Sligo County Council","Number","5303"
"Population with a disability to some extent","2022","All ages","Female","Cavan County Council","Number","5184"
"Population with a disability to some extent","2022","All ages","Female","Donegal County Council","Number","11981"
"Population with a disability to some extent","2022","All ages","Female","Monaghan County Council","Number","3822"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Ireland","Number","6573"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Carlow County Council","Number","100"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Dublin City Council","Number","667"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Dún Laoghaire Rathdown County Council","Number","223"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Fingal County Council","Number","432"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","South Dublin County Council","Number","455"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Kildare County Council","Number","298"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Kilkenny County Council","Number","131"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Laois County Council","Number","150"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Longford County Council","Number","64"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Louth County Council","Number","211"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Meath County Council","Number","304"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Offaly County Council","Number","117"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Westmeath County Council","Number","114"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Wexford County Council","Number","214"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Wicklow County Council","Number","220"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Clare County Council","Number","143"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Cork City Council","Number","291"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Cork County Council","Number","481"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Kerry County Council","Number","161"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Limerick City & County Council","Number","274"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Tipperary County Council","Number","239"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Waterford City & County Council","Number","166"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Galway City Council","Number","66"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Galway County Council","Number","240"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Leitrim County Council","Number","49"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Mayo  County Council","Number","156"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Roscommon County Council","Number","93"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Sligo County Council","Number","84"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Cavan County Council","Number","112"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Donegal County Council","Number","230"
"Population with a disability to some extent","2022","0 - 4 years","Both sexes","Monaghan County Council","Number","88"
"Population with a disability to some extent","2022","0 - 4 years","Male","Ireland","Number","3935"
"Population with a disability to some extent","2022","0 - 4 years","Male","Carlow County Council","Number","62"
"Population with a disability to some extent","2022","0 - 4 years","Male","Dublin City Council","Number","381"
"Population with a disability to some extent","2022","0 - 4 years","Male","Dún Laoghaire Rathdown County Council","Number","137"
"Population with a disability to some extent","2022","0 - 4 years","Male","Fingal County Council","Number","249"
"Population with a disability to some extent","2022","0 - 4 years","Male","South Dublin County Council","Number","278"
"Population with a disability to some extent","2022","0 - 4 years","Male","Kildare County Council","Number","189"
"Population with a disability to some extent","2022","0 - 4 years","Male","Kilkenny County Council","Number","73"
"Population with a disability to some extent","2022","0 - 4 years","Male","Laois County Council","Number","92"
"Population with a disability to some extent","2022","0 - 4 years","Male","Longford County Council","Number","43"
"Population with a disability to some extent","2022","0 - 4 years","Male","Louth County Council","Number","132"
"Population with a disability to some extent","2022","0 - 4 years","Male","Meath County Council","Number","191"
"Population with a disability to some extent","2022","0 - 4 years","Male","Offaly County Council","Number","78"
"Population with a disability to some extent","2022","0 - 4 years","Male","Westmeath County Council","Number","69"
"Population with a disability to some extent","2022","0 - 4 years","Male","Wexford County Council","Number","128"
"Population with a disability to some extent","2022","0 - 4 years","Male","Wicklow County Council","Number","128"
"Population with a disability to some extent","2022","0 - 4 years","Male","Clare County Council","Number","84"
"Population with a disability to some extent","2022","0 - 4 years","Male","Cork City Council","Number","197"
"Population with a disability to some extent","2022","0 - 4 years","Male","Cork County Council","Number","295"
"Population with a disability to some extent","2022","0 - 4 years","Male","Kerry County Council","Number","91"
"Population with a disability to some extent","2022","0 - 4 years","Male","Limerick City & County Council","Number","162"
"Population with a disability to some extent","2022","0 - 4 years","Male","Tipperary County Council","Number","139"
"Population with a disability to some extent","2022","0 - 4 years","Male","Waterford City & County Council","Number","102"
"Population with a disability to some extent","2022","0 - 4 years","Male","Galway City Council","Number","34"
"Population with a disability to some extent","2022","0 - 4 years","Male","Galway County Council","Number","139"
"Population with a disability to some extent","2022","0 - 4 years","Male","Leitrim County Council","Number","29"
"Population with a disability to some extent","2022","0 - 4 years","Male","Mayo  County Council","Number","89"
"Population with a disability to some extent","2022","0 - 4 years","Male","Roscommon County Council","Number","50"
"Population with a disability to some extent","2022","0 - 4 years","Male","Sligo County Council","Number","51"
"Population with a disability to some extent","2022","0 - 4 years","Male","Cavan County Council","Number","57"
"Population with a disability to some extent","2022","0 - 4 years","Male","Donegal County Council","Number","130"
"Population with a disability to some extent","2022","0 - 4 years","Male","Monaghan County Council","Number","56"
"Population with a disability to some extent","2022","0 - 4 years","Female","Ireland","Number","2638"
"Population with a disability to some extent","2022","0 - 4 years","Female","Carlow County Council","Number","38"
"Population with a disability to some extent","2022","0 - 4 years","Female","Dublin City Council","Number","286"
"Population with a disability to some extent","2022","0 - 4 years","Female","Dún Laoghaire Rathdown County Council","Number","86"
"Population with a disability to some extent","2022","0 - 4 years","Female","Fingal County Council","Number","183"
"Population with a disability to some extent","2022","0 - 4 years","Female","South Dublin County Council","Number","177"
"Population with a disability to some extent","2022","0 - 4 years","Female","Kildare County Council","Number","109"
"Population with a disability to some extent","2022","0 - 4 years","Female","Kilkenny County Council","Number","58"
"Population with a disability to some extent","2022","0 - 4 years","Female","Laois County Council","Number","58"
"Population with a disability to some extent","2022","0 - 4 years","Female","Longford County Council","Number","21"
"Population with a disability to some extent","2022","0 - 4 years","Female","Louth County Council","Number","79"
"Population with a disability to some extent","2022","0 - 4 years","Female","Meath County Council","Number","113"
"Population with a disability to some extent","2022","0 - 4 years","Female","Offaly County Council","Number","39"
"Population with a disability to some extent","2022","0 - 4 years","Female","Westmeath County Council","Number","45"
"Population with a disability to some extent","2022","0 - 4 years","Female","Wexford County Council","Number","86"
"Population with a disability to some extent","2022","0 - 4 years","Female","Wicklow County Council","Number","92"
"Population with a disability to some extent","2022","0 - 4 years","Female","Clare County Council","Number","59"
"Population with a disability to some extent","2022","0 - 4 years","Female","Cork City Council","Number","94"
"Population with a disability to some extent","2022","0 - 4 years","Female","Cork County Council","Number","186"
"Population with a disability to some extent","2022","0 - 4 years","Female","Kerry County Council","Number","70"
"Population with a disability to some extent","2022","0 - 4 years","Female","Limerick City & County Council","Number","112"
"Population with a disability to some extent","2022","0 - 4 years","Female","Tipperary County Council","Number","100"
"Population with a disability to some extent","2022","0 - 4 years","Female","Waterford City & County Council","Number","64"
"Population with a disability to some extent","2022","0 - 4 years","Female","Galway City Council","Number","32"
"Population with a disability to some extent","2022","0 - 4 years","Female","Galway County Council","Number","101"
"Population with a disability to some extent","2022","0 - 4 years","Female","Leitrim County Council","Number","20"
"Population with a disability to some extent","2022","0 - 4 years","Female","Mayo  County Council","Number","67"
"Population with a disability to some extent","2022","0 - 4 years","Female","Roscommon County Council","Number","43"
"Population with a disability to some extent","2022","0 - 4 years","Female","Sligo County Council","Number","33"
"Population with a disability to some extent","2022","0 - 4 years","Female","Cavan County Council","Number","55"
"Population with a disability to some extent","2022","0 - 4 years","Female","Donegal County Council","Number","100"
"Population with a disability to some extent","2022","0 - 4 years","Female","Monaghan County Council","Number","32"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Ireland","Number","22046"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Carlow County Council","Number","279"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Dublin City Council","Number","1776"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Dún Laoghaire Rathdown County Council","Number","808"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Fingal County Council","Number","1564"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","South Dublin County Council","Number","1441"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Kildare County Council","Number","1222"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Kilkenny County Council","Number","438"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Laois County Council","Number","487"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Longford County Council","Number","203"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Louth County Council","Number","655"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Meath County Council","Number","1102"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Offaly County Council","Number","418"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Westmeath County Council","Number","450"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Wexford County Council","Number","757"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Wicklow County Council","Number","804"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Clare County Council","Number","512"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Cork City Council","Number","902"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Cork County Council","Number","1712"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Kerry County Council","Number","555"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Limerick City & County Council","Number","917"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Tipperary County Council","Number","787"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Waterford City & County Council","Number","471"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Galway City Council","Number","278"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Galway County Council","Number","807"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Leitrim County Council","Number","150"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Mayo  County Council","Number","520"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Roscommon County Council","Number","323"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Sligo County Council","Number","318"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Cavan County Council","Number","367"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Donegal County Council","Number","777"
"Population with a disability to some extent","2022","5 - 9 years","Both sexes","Monaghan County Council","Number","246"
"Population with a disability to some extent","2022","5 - 9 years","Male","Ireland","Number","13326"
"Population with a disability to some extent","2022","5 - 9 years","Male","Carlow County Council","Number","165"
"Population with a disability to some extent","2022","5 - 9 years","Male","Dublin City Council","Number","1082"
"Population with a disability to some extent","2022","5 - 9 years","Male","Dún Laoghaire Rathdown County Council","Number","499"
"Population with a disability to some extent","2022","5 - 9 years","Male","Fingal County Council","Number","943"
"Population with a disability to some extent","2022","5 - 9 years","Male","South Dublin County Council","Number","875"
"Population with a disability to some extent","2022","5 - 9 years","Male","Kildare County Council","Number","730"
"Population with a disability to some extent","2022","5 - 9 years","Male","Kilkenny County Council","Number","256"
"Population with a disability to some extent","2022","5 - 9 years","Male","Laois County Council","Number","301"
"Population with a disability to some extent","2022","5 - 9 years","Male","Longford County Council","Number","128"
"Population with a disability to some extent","2022","5 - 9 years","Male","Louth County Council","Number","399"
"Population with a disability to some extent","2022","5 - 9 years","Male","Meath County Council","Number","645"
"Population with a disability to some extent","2022","5 - 9 years","Male","Offaly County Council","Number","256"
"Population with a disability to some extent","2022","5 - 9 years","Male","Westmeath County Council","Number","285"
"Population with a disability to some extent","2022","5 - 9 years","Male","Wexford County Council","Number","458"
"Population with a disability to some extent","2022","5 - 9 years","Male","Wicklow County Council","Number","482"
"Population with a disability to some extent","2022","5 - 9 years","Male","Clare County Council","Number","310"
"Population with a disability to some extent","2022","5 - 9 years","Male","Cork City Council","Number","559"
"Population with a disability to some extent","2022","5 - 9 years","Male","Cork County Council","Number","1011"
"Population with a disability to some extent","2022","5 - 9 years","Male","Kerry County Council","Number","348"
"Population with a disability to some extent","2022","5 - 9 years","Male","Limerick City & County Council","Number","538"
"Population with a disability to some extent","2022","5 - 9 years","Male","Tipperary County Council","Number","490"
"Population with a disability to some extent","2022","5 - 9 years","Male","Waterford City & County Council","Number","301"
"Population with a disability to some extent","2022","5 - 9 years","Male","Galway City Council","Number","160"
"Population with a disability to some extent","2022","5 - 9 years","Male","Galway County Council","Number","480"
"Population with a disability to some extent","2022","5 - 9 years","Male","Leitrim County Council","Number","90"
"Population with a disability to some extent","2022","5 - 9 years","Male","Mayo  County Council","Number","299"
"Population with a disability to some extent","2022","5 - 9 years","Male","Roscommon County Council","Number","201"
"Population with a disability to some extent","2022","5 - 9 years","Male","Sligo County Council","Number","187"
"Population with a disability to some extent","2022","5 - 9 years","Male","Cavan County Council","Number","214"
"Population with a disability to some extent","2022","5 - 9 years","Male","Donegal County Council","Number","476"
"Population with a disability to some extent","2022","5 - 9 years","Male","Monaghan County Council","Number","158"
"Population with a disability to some extent","2022","5 - 9 years","Female","Ireland","Number","8720"
"Population with a disability to some extent","2022","5 - 9 years","Female","Carlow County Council","Number","114"
"Population with a disability to some extent","2022","5 - 9 years","Female","Dublin City Council","Number","694"
"Population with a disability to some extent","2022","5 - 9 years","Female","Dún Laoghaire Rathdown County Council","Number","309"
"Population with a disability to some extent","2022","5 - 9 years","Female","Fingal County Council","Number","621"
"Population with a disability to some extent","2022","5 - 9 years","Female","South Dublin County Council","Number","566"
